Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,,91-95,,33,,43,57-52,,,,65,,33,52,,84,,,,,4,,95,,1,,,,
,,,,20,,,31,95,,,,,,79,91,52,,84,,,,90,81,52,,,61,79,
70,43-52,26,,14,,,,,,95-46,,,,81,,,,,63-27,72,,81,,,58,,14,37,
,36,,,4,,,,15,,33,33,,,57,65,,,,26-14,15,,,,,85,,,70,14
,33,,55,85,,,,,,,,,,,,,,,34,,,57,,,,8,,,
,,,18,,,,,,,81,,87-92,,,,14,52,,,86,,,52,92,,,,52,
91-71,,,81,,,,16,77,,,81,95,,,,,,,,,,77-16-52,61,33,95-92,66,,,
81,14-96,,,,,,,,95,,,,,,,81-52,,,,,43,52,20,,,,,84,
,81,52,57,,,,,,1,14,,,,,,,,,,,,84,,4,,8,,20,
72,,,,52-4-74,20,,52,,,,,,,,,,,,14-91,,36-84,57,,,,,33,,
1,,33-18,36,,,33,,,91,20,,,8,,,,81,52-57,96,,,81,,,,,,,
,43,52-33,,,,,,,,,,,,,,,,,52,,,,14,,,,70,,
,,,,,,,,38,,20,,,,,70,,,,,,,,,,43,96,27,,
,,,,,81,95,,,,,58,,90,,,,70,95,33,,57,,,,,,,,
52,,,27,,,3,52,,,14-33,,16,,52,,84,85,,,,88,,37,81,,,,60,
,,4,,,79,84,,,,,11,58,91,20,,52,92-33,,81,,,,59,,,,24,,
,,91,27,,81,,48,,,,96,27,,,,,,,,,,,,,52,,,,
,,,58,,,33-52,,,,,,70,,84,,,,,,,,91,91,,,,14,27,
11-52,24,,,,4,,,,,91,,27,92,16,,,,,,,21,,,,,,,,33
,,,,,,,81,,,,,,,,91,,,,88,,70,,,,,,,52,
,90-20,,,,81,,3,58,20,96,14,,71,,,14,36-38-40,83,,63,,,,,,,69,,52
14,,,,,,,,26,52,4,52,,,8,,,,,,,,,,,,20,,,
,,15,,14,26,,,,14,81-91,,,16,,,,,,,,,,,,,,,,
,,,,,,,,,,,84,,,,1,,,,,11,,,,14,,43,,33,
,70,52,81-1,,,,,,,52,,84-91,51,,,,,,,,,,92,,,,85,77,
15,4,,,81,77-91,,,,,,,11,,,52,,,,,,,,,,52,,4-16,91,
,,,,,52,,,,,52-52,,91,,52,,52,,,14,,,,,36,,,,,
,,,52,43,,16,,,,,52,,,,81,,81,81,,91-52,,81-95-33,,,,14,,,
91,,,31,,,,79,,,,,,,91,52,70,,,,33,,92,,,,,,,
,,,34,81,,1,,,,,,71,,1-91,,,,,,58,,,,,11,91-59,,79,
33-81,,50,52,,84,,,,71-43,,,,,15,31,33,,,33,58,,,,51-16,,,,,52
,,,,,,,,,,,,12-52,23,,,51,,,,,81,1-52,12,,,,,,
,20-58,,,,36,,,3-20,61,,,,,20,,,,,36-86,97-50,,,,,,51,33,,37
,,52,,,,,51,,,,,,48,94,,,,,1,15,,,,90,,61,,51,
81,,20,81-52,,,,,,,81-91,,,,81,14-52,14-81-95-77,,,81,33,41,,81,,,,,,
,,,,,,,,,,,,,,,,57-33,52,96,,,16,,85,,84,40,,84,50
,,11,,,,,,,,,8,52-38,,47,,,,3,81,,,,,52,,70-8-81,,,
33-91-33,,,20,,,,41,,,58,,,,,,,52,33,33,,,,,,58,81,,,
,,,,,,,,,81,,,,,11,,,,,91,,,,,2,27,,,,
61,,,,,52,,,,,,14,,,,,,,,81,,52-52,,,,,,,,18
