Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
33,,,58,,,,,,,84,,,,,50,,,,,,81-92,,77,,,52,,,
,,,,,,,52,,,,,,,,,,83,,,,,,,,81,,,,81-91
,,71,,,38,,,14,,,,18,,,33,,,,,58,11,,,,,27,,,
,,,,,,,,,,,33,,,,27,,,,,,20,60-14,,26,,,,,
,,,3,,,,,,52,,,,,,,16,,,,52,,,11-8,,,,,,74-92-52
,,,,,14,,,52,,,,,94,,,52,,,,33,38-26,,,,,,43,85,
,,52,,,58,,,,33,,,,81-81,,,,79,4-20,,95-58,,,,91-52,,,52,,20
,,47,,74-27,,27-57,,91-43,,74,,,,,,,,31-18,,,,,,,,,,,
,,52-20,,51-57-81,,61,33,33,,52,,,95,,,,,61,,,1,,,,,,,39,
,69-84,,52,,,,59,,,,85,,,,,,,,96,,,8,,97,,91,,81,4-4
,86,,,,,,,,,,,81,52,,,57,,,,,,,16,,57,,27,8,
,14,,,63,1,,52,,,,,,,81,,,91,,,,,43,58,,,,36,52,92
,,,,81,,,,52,,52,,,,52-36-81-70,,,,82,36,,,14,,,,,81,,
,,,,,84,,,,84,14,,,,,,84,8,81,,,43,57,70-33-14,,,,,,
79,,,,,,,,,,,91,,,,,,26,,11,,,,,,81-55,,,,
,91,,,,,,,,92,90,,,43,,,,,43,,,91,,52,,,,,,
,,33,,89,,,,,,,,,,,,,,,91,,,,,,,,,,
,52,,,,,,,8-52,,,,,,,,,14,81,,,,,,66,,63,77,52,
,,,,,77,,,,52,,,14,,,48-70,97-91,20,81-14,,,,,,,33,,,,
,52-58,,,,66,,,91,,83,,,,,48,52,,,33,,91,,81,,52,,,43,
,14,,,65,,,,,51,,57,,,,43,52-84,,20,,33,,,,,,20,,14,
11,,,81-91,92,,,79,,91-63,,,,,,95,67,,,,,,8,,,,,33,,43
,33-52,58,,,52-65,,,,,,,,,,,,52,79,33,,,14,,,,,,,14-52-36
,,,,,,,52,38,,,52,71,,,79,,52,,91,33,33,,,,,43,,,
51,,1,,,,,,,,,,,,,,,,,,,,,,,70,,,,48
14,,16,,,,,,,,,52,33,,50-74,15-72,,,,,,69,,,,95,,,16,
,15,,,,,,,,,85,,84,,,,,52,,,,,,,16,92,38,,,
,,,,,,,,49,,86-52,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,14,43,,,,,,,,91,,15-37,83,,,,,,,52,
,,,,,,,81-52-96,15,69,33,52,,,,,,,,,,,,,,,,,52,
14,,33-91,,,,,74,,,52-20,81,,,,,,,,,27,,,81,15,,,,,57
,,,,,,,,81,,,,14,,,,12,,,94-96,,,81,91,,,,,,
,74,,,,,96,80,,,33,81-91,70,11,,,20,,79,,,,,,,,,,,
81,,61,,13,,,81,,,,,,34,,,,52,,74-14,50,14,14,,,,,,,
,,,14,91-11,,24,,,,,,,26,,92,,52,,69-81,,8,38,,,,52,,57,
,,,,71,,,16,,,36-20,,,43-20-52,,,,,,,,,,52,,,,,65-27,
,,,50,,52,,63,18,,,,96,,,,,58,,20,,,52-52,,,,36,,48,
,,,,81,,52,,52,,,,,83,33,81,50,,,96,,,,3,,61-1,,81,,
,,,,,52,,,,,,,,40-52,,,48-60,52,,,,14,,33,,52,57-14,,14,85-33
,90,,,,,,47,,,33,85,,,,,,,95-52,,,,,,52,,,,,
,,,,,,,92,,43,47,,57,16-96,,,,91,,,,,1-83,,,,,,,
,,,3-14,83,,,,27-49-90,81,20,69,,,43,69,,33,14,,,,,,,33,,52,,
33,,,,,,,,,,41,51,,,,85,4-72,52,,,,91,43,14,,,81,81,,20
,,,52-24,,58,,,,,,,14,,,,,95-52,,,,,,,,,,,27,
,,,,,,,81,,,,,14-52,,,,52-52,,,,,,,,,,91,51,91,
,91,,11,,,,,94,,70,61,,,,27,,,,,,,,,,69,,,,
,,,,52,,20,,,,85,,18,,,,81,11,,,90,,,,91,,,,65,
14,,,,95,52,,,,,,,,90,,,71,,,,,,,81,63,,4-74-81,,,
95,,81,,,,,,,,52,,,20,,,,,,,,33,,,79,,96,,,
,,,,,,,,,,,,,,,95,,85,,33,,,,,69,,,,,
,,,81,,52,,,,,,91,,,36-91,,,11,,,81-14,,,,,,,,,84
,,52-20,84,33,81-70,31,,1,,,,27,20-39,,64,,,,,,66,,,87,,,,,
,84-33,,,,,,,,14,,,,14,,,,52,81,,,,,,,,,6,,
,,,1,,43,,,,,,,81,,,1,,,,,,,71,,,,,84,,
,,,63,,,,92,,,,,49,,,,,,,69,,,81-88,14,,,43,,,20
,52,,52-81,,,81,,,90-52,,14,,,,,,81,33,,60,,,43,,,,,,
,,21,14,20,16,52,52,,,,,,90,49,,57,61,91,,,,,,,,,,,
,,,27-2-43,4,,58,,,,,,,,,,,,,33,,61,,,20,81,,,52,48
,,,,61,57,81,,70,,,,20,,50,,33,,,,,74,,,,20,,,,33
72,27-38,,84,,,,91,,,,,,52,,52,,,,,14,,,,,,,20,,
95,,20,,,,,33,,,,33,,,,,,,,,,,51,,81,,81,,,95
,,,74,,,,,81,,,,,,,,,,33,,,84,,33-4,,,,95,,81
,11-27-52,,,,,,,,74-33,90,,,,,,,,45,14,,,33-58,,,,81,,,16
,,,86,,,41-15,,58,,,,,1,1,,,61-81,14,,,91,91,,,,,,,
,36,,,83,,,,52,52,,,,,,,59,,,,,,,,,,,74,,
,,81,,,,,52,,,,,,,,52-11,,81-43,43,,,,,,,,,81,,
,,,,,,,,,,33,,,80,,,,,,,20-92,,,69-81,,,,,,
14,,,,,,,81,,,,,,,,61,,,8,,,52,18,23,,91,,26,,
,,,,,91,,,,,,,,,46,,91-20,,,,,91,91,,,52,,,,31
14,91,,,,,,92,,,,,,,,,97,52,,70,94,,,,,,,,52,69
,,72,,,,52,,,,,,74,,61-81,84,,,,,,,1-27,,63,,,2,,
,,8,,95,,,,,,,51,,,94,,,20,,,,,72,,,,8,,20,
,8,,14,,,,,,,,,,,,95,,81,,,,52,,40,,16,,,,
4,14-32,,,66,52,,,,95,33,,33,,71,,33-14,,,,,,,,74,91,,,,12
,,,,,,,,,84,,52-14-38,,,40,88,,,,52,16,51,,1,92,18,,,,91
52,,,33-37,16,,14,,81,6,,,,,81,,,1,58,,52,,90,,,,,,,27
,,81,,,,,,,,,,,,52,81,,8,74,,,,,,41-74,,,,,
8-57,14,,,,72-69,,33-83,,,,,,,,33,,,,94,,72,,,52,14-20,,,48,14
1,,,,,,,,14,,,52,,,,,52-81-96,,,,79-79,,,,91,33,33,,,81
47,,,,,,,,,61-38,15-52,,,58,69,,,,,81-16,,91,,,,,38-66,14,81-15,
,13,,,,33,,,95,40-20,,,,,,,,81,,,1-91,,52,,,81,,,,
95,,,,,81,,,,,,52,,,,,,,31,72-38-58,,,11-57,,58,,,,,
84,,,,,81,,,,,,70-52,,,,,,40,,81-90,,57,,,,,,,,
,,,,96,58,,,,,,,,58,74,91,,,74,45,81,,63,84-52,25,,,21-59,,
,43,,,,26,92,,,,,,,,,,,,52-33-52-52,,,,,,,,,46,,
,51,20,,,,,,64,81,,,,,,81,,,83,4,14,,,91-90-79,,55,,91,,
,,81,,,31,91,,,52-65,91,,,,,92-52,94-38,,,,,,,,,,,,4,
,,52,,,,81,,,,,,,,,,,,,,1,,14,,,,,,,33
,,,91,,,,,,,,,,81,,,,,,,91-58,,,,,55,,,,
,,,,,,,81,,15-14,74,,63,14-74,,,52,15,,,70,33,,14,,,,,,91
,61,,8-50,31,,74,,,61,,,,,33,,,,,,14,,,,,,,,91,52
,,,,,,,81,81,,,57,,,,31,33,,,84-20,,,50,,24,14,36,,,
,84,,,,,,,,,,,8,,,,,,,,91,,63,,,33,81,81,,
,,91,,33,52,,,,,74,52,,,,,20,92,,,52,,,,,,,,,
43,,33,86,,,,,,,,,38,,,91,,,,,,,,,,,11,52,,
,,43,15,,,,1-14,,,58-8-85,,,,,,,,,52,,20,,,81,,,91,,
,,,,,63,,81,,,,,95,,,,,,,,,,,,,61,,84,,57
95-70-52,,,58,,,,,,8,,,91,,,49,,,,,,91,,,,3-81,70,4,81-61,81
,,,14,81,,,,,,,,,,,,1,95,13,20,,16,,11-82,,81,,41,14,
14,,,33,,,20,,52-47,,,,,,,,11,,,33-71-61,,,8,52-88,,91-40,14,,,84
63-52,72,95-79,,52,,,,,,,27-91,,,,,,,,,,,,,,82,,,58,81-65-27-91
,,,,,,,,,,,,,,,71,,58,,,57,8-51,,,52,,,,96,
,,,33,,,,,,,18-81,,52,,,34,,,,,,,,11,,,,81,,
,,74,95-33,,,84,,,,,16,,,,,,31,81,,27,50,,,1,,,83,,
25,88,,,57,,40,,,,,58,,,81,83,,,52,,,85,,,91,,,14,81,
43-1,,72,,,,,,,,,,,,52,,,,,58,,,,,14,95,,,81,11
,86,,,,,,26,,,81,,95,,,,8,38-69,,20,95,,,,,92-79,33,,,
,14,,,92,,,61,85-81,,,,,,,33,,59,,81,91-24,,,48,95,,,,,
,91,,,,,,20,,,1,58,,,,16-14,,,,,90,95,84-95,14,,11,,,,
,,,72-33,,,64,,,,,,,,,,,,,,,,,,,,14-14-92,,,
,,,,,,91,81,,,,,33-14,,,,,,,,,84,,,33,,,,,
95,,,,52,57,,,72-92,91,,,60,95-84,,,,,,91,,,,,,8,,,,72
,,,,33-20,58,14,,,,,,,70,,,33,,,,,8,,52,,81,,,,
14,,,,,,12,,,,,,,,,,,,,,,,,,,,,14,52-14-81,
,,81,16,,91,52,,,,,,,,52,,52-52,,,33,74,43,97,,,,52,,,84
,,15,,63-52,,,,3,27,14,,,,,,,,65-51,,,,,,81,,,86-52,,
,,52,,,11,,,,,,,65,,,,52,,96,,,,,,,,,,,34
,,,,48,,,,,,14,,52,,,,52,57,,,15,,,,,,,,,
,1,20-81,,,,58,,70,1,,,63,47-63,,26,,,,74,,,,,,,,,,
,33,95,,91,47-47,52,,,,,,33,14-33,,,,,,,,,,33,,52-52,,,,
,91,,,,,18,92,,,38,,52,,4,,48,81,,,,,,,,,97,,,
,14,8,,,,,,,43,,47,14,,,,,,,,58,87,14,,,33,95,,,52
,20,,,57,,43,,91,,,43,52,,43,,,,,,,,,,,,,,,
,,,52,,,,,,95,,74,43,32,83-81,,,,,,,33,,,,58,,,,57
,,,,91,,,91-11-72,83,,,,,58,90-20,,,,95-34,91,,,92,,,,,,36,16
,,,,84-91,,36-40-92,,11,36,,91,52,,,12,,,,,,,21,,,,,,,
,57,,,,,52,,,,,,92,,,58,,,,,,61,,,,,,,14,33
,,33-20,,,,4,,,,69,,,,,,97-15,,,,,,,,,,,,,
,,,91-83,12,27-33,,14,,33,,,,,52,,,,92-65,,,,11,,38,,,,,95
,20,,,,,4,83,58,,,,,,,,,,,,81,,81-81,,96,,33,95,20,
,,,,,,91-35,,52-14,,,83,74,,,33-1,,26,,,71,32,14,43,,36,,,,
,,,,,,,,,,,11-81,,,52,,,,69,,,,81-38,91,33-88,,,91,,
,43,,,,81,,96,,,,58,33,,,,,,,,,,,,,81,50-52,,,
43,,59,,,,11,,,91,,20,,33,,,91,63,,,,,,,,,53,,,
,,81,,81-92,11,91,,,,,,,,,,,,,,52,,14,,,52,,,,
,,,,,14,,,,,,,,33-81,,81,16,,,,,81,81,,52,,,,97,24
,,43,,,,,,,,,35,,57,,,33,84,52,27,,81,92,14,,,,,,
,,77,,91,,,,,,,,,,,,,,,,63,,,,40,33,,,,
50-52,,,1,,,33-52,60,,,,,52,95,,,,,,,52,,,31,,83,27-81,,,
,58,,,43-52,,,,,,33,,,,,,,91-97,,,,,,26,,,,,,
91,52-58,,,,,,,,,15,,11,36,,,34,,52,,39,1,,58-38,,81,20-52-71,,,
,,,,,1,20,,70,,,,,40,84,52,,,,,,,,,,,,33,,97
80,,3,,,,,,,,,,,,,,,,,,,63,,,11,,63,,31,33
,14,,,52,,77,,,11,33,,69-33,,,,,33,,,87-96,8,,,,,,,,
,,,,,,,16,,26,,,,48-15,,74,,,,60,,,,,52,,,,14,
,39,,,,,43,61,,96,74-52,,,,,,,,,92,,,,56,,,,63,,
,,,,65,,,57,,60,1,,,28,,,,84,,,,,63-27,,,,,,,
,,,,52,91,,,,71,,58,,79,,35,14-88,35,,,8,,,,,90,55,52,,8
,18,,,,,,,70,74,,,,,8,,91,,13,,,74,,,,,,,,
34-11,,,52,,,69,14,33,,,,,,,,,,,81,,,,,,,,,3-86,
,,,,,,,,,,,43,84,,69,,18,,,,,,33,70,,36,8,72,,
,,,,36,,,,,70,,,,94,,,,,91,85,,11,,,70,1-58,33,15,8,
36,,,,,90,50,,51-20,,,,,,,,,,,,,,,72,52,59,,,,
,,51,,,,,,,,91-71-52,,40-3,50-33,,,,,,71,,,,,33,,81,,,
8,33,8,,,,,,70,20,,20,,,95,,,,,50,96-52,,12-61-43,,,,,52,69-52,52
,,,,,,,,,,,,33,,,1,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,52,58,,,1,,,18,,91,,,,
,,36,,,,,,,,16,33,,,,,,,,,,,,,,,,,,
,33,8,,,47,,,,40,,,,,,52,,,70,,,3,14,,,,,,,
,,,,,33,,,,,83,,,,,,,52,,57,65-20,61,,,,52,,,57,
14,,,1-1,,81-97,,,,,,,63,,81,,81,,,,,,,71,,,,91,,77
,,92,,58,,,52-1,33,,14,,8,,,,,,,,,,,,,12,,14,,
91,,,,,,,,,,20-91,,,8,,,,,,,4,,,16,92-91,14-70,,71-33,,
14,70-36,14,14-52,,97-52,,,4,,,,,,,59,,,52-52,,52-95,,,3-91,,81,36,1,81,
33,,,52,36,,14,,,,,,33-52,52,,38,33,,,,81,,,,8,,,,,
,,,,59,,,,95-52,43,33,4,33,33,,,,1,,,33,,91,81,,,,,,
20,,,,,51,48,,,,,,43,,84,87,,63,,,,,,43,1,71-33,,,,
,,,,,,20,,,80,11-33,,,,,33,,,,,,92,,65,,,,33,,
,,,,,,,,,,,,,,,,,,33,,72,,52,,,,,,,36
,,61,,,91,,,,,,,74,71,,,,,,,50-95,15,,,,,,,,
,,,,,27,,16,27,,,26,52,,,,,,91,95,13,,,,,14,,,,
,,,,14,91,,,,,,,,,,95-33,72,,,,,,,,1,,,,27,52
,94,,,,,,,,,,,,,81,,,,,,,49,,,,74,,,61,
,,,,,91,92,,,33,,,,81,,,81,,,57,,,,,,,,,,52
,,36,,,14,,,,50,,,33,,,,,,,95,,38,,,,,,,,
,,,,,,,,,61-33,,,,,,81,,,,36,43,,,52,,91,,,,
95,,,,,4,,21,,,,,,,,52,85,,,,,,,,,,,,,
,,,,,,,81,,86,,,81,27,,,,,,15-81,,81,52,,83,,,79,,
91,,,,,,,,52,,,,,91,,,,,,91,14,,,,,74,,,,52
,11,,,,,33,,48,,52,,14,,20-14-92,,,,,,,,51,,33,,,,58,43-33
,71,,27,52,,,70,,,,,,,,,,,,,,,48,,33,,43-15,,,
,,,,71-1,43,,,52,20,,81,,,,,74,,,,,52-84,,,,63,,,61,48
14,,96,,,,,,,,,,,,,55,,,,52-14,,,,,,,,20,91,24-74-84-51
61-43,33,,14,,,,,,,,,,,,,,83,,,,8,,,,,52,,,48
,,,16,,,,87,,,,,,,,70-38,,,14,,20,,83-52,,52,,,,81-52,
74,20,,33-38,27-81,,,,,52,,,,,52,,,,1-96-16,,,,81,,,48,,,,58-74-67
,,,52,97,1,14,,,,,,95,67,,,,,81,,33,,14,43,,,58,,91,
6,81,,1,,,,,,,,,,,,,,,,52,,,,,,52-24,,91-95,,
31,55,,,84,,,,,,,66,,,,,,,,,,,,,,81-14,,,14,
95,,,,72,14,,81,14,,3,,,,,,97,,,,81,16,,74,,,,43-94,,81
,,,41,,85-32,,81,20,,,,,,,,,,,,,,,90,,3,,,91,
,,,,,,,38,,,,81,,,,,,,92,,15,,,,,33,,,,
,,,,14,,33-14,91,,58,33,,,,,11,,,,33,52,,74,20,52,,,,,
,,,52,,,91,,,,,,,,,,61,,,,,,20,,,4,,,,
58,,,47-81,,81-14,,,,52,43,51,,52-11,,,,,16,61,,,,,,,11,,2,
,,55-63,31,,,,,,,,,,,,81,,20,,27,,15-8,,,33,,,33,,
,,,,,,,18,,39,33,,,33-81-91,,,65,,18,91,,,,,,,,70-16,,
,,,14,,,,4,8,81,,33,,16-52,,,,,,11,,81,,95,48,,,8,57,
,,,,,,58,34,,,,,,,,,15,91,8,,,,,43,,91,,,14,
41-16-71-37,36,,61-15,,,20,,,,,,,,,,,52,,,81,,,,,,,65,,
16,14-50,,,84,91-63,,18,,,,,,,,,74,,,,,81-58,18,,,38,,33-18,,
,,,52,36,40,,52-21,71,52,,,33,66,,,81,14,,,36,,,,,74-52,,27,,
,,50,81,,,8,91,,,,,,,20,33,,,,,,52,,,,27,,,,
85,,,,84,,,,,81,14,,,,36,,37,,14,52,,81-72,60,33,,,,,14,
,27,,,,79,,,58,,91-91,77-52,,33,8,,,,,,,,,,74,,,52,,
,,,,,,,15,,,,18,26,,,,,8-86,,84,,52,95,81,,20,,71,,
,,,,81,,,,,,33,,,,,,,,14,,14,,14,,,,,65,,
,,,,,,,,,,,61,,91,33,59,81,,,,16,,,,33-27,,,,,
,,,,,,,,16,,,,1,,,,,,,33,,52,,,,,,,,90
,,,,,,,,,43,52,,,,85,,,,,,81,,,,,,,,27,
,,,57,,,14,,36,,,,27,33-52,,,33-52-33,,,,,,,,,81,,36,,
33,52-91,,,12,,,,12,,,,,,,,,,,15,61,33,,,,,,,,
,,,,,,91,,,,,,85,8-63,,79,87,,,33,,58,95,60,58,,,,97,71-14
,91-85,91,51-58,,52,,,,66,16,,,,52-52,,,,,,,,14,,52,,81,,,33
,,,,,,72,,16,,70,,,,,,,,,,,,,,52,,,,,
,,,,,,,,,,,,,,,,,48,,,,,,,33,,,,,
,95-52-4,,,38-16-14,,14,,8,81,,,,,,,,88,,,91,,,,,40,,,,
,81,14,,,33,52,58,,,,,14,,,,,,,,,,,,,,20,33,58-20,
8,33,,95,,33,,,,,,,,,,35-81-51,74,,,,18-43,,40,,,,,3,,
33,,,,,52,,14,,,,,26,,,,,,,48,,,33-81,,52-66-81,33,,43,91-33,
91,,74,6,,92,56,27,,36,,36,18,,52,,,,,,12-43,,,,,,,63,,
,14,74-52,,,50,,,,,,,72,81,,,,1-8,81,,18,,,,,38,,,95,
,,,,,,,,,,,,,95-79,,,,,91,,81,58-14,,,,,,,,1
,91,,57,,,70-92,49-15,57,,1,,,,,38,,,,,,,,,,,,,58,
,,52,,81,,,43-91,50,1,84-57-70,,,,,,61,,,51,33,40,,,,,,,,
,,58,61,,58,,,,,,,,,,,,,,81,52,,81,,83,50,,,95-20,
,58,,,,81,,,,,,16-91,,91,,,,8,,,91,,,58,,,16,,,
,,91,,,,,,51,,81,,,52,,,88,,,,14-1-4,,24,,,,14,58,81,
,,,,,,,,,,,,,,,,,,33,,,,74,70,,,,,26,
14,,57,55,,,,27,27,,,,,,50,,,,,11,52,52,,,81,,8,,,
74,,,,,52-38-8,,,,,,58,,,,91,,92,52,,52,,14-81-37,36-91,92,,,,11-81,
,80,,,80,,,,32,91,,,,91,,,,,,,,,14,33,,,,69,27,52
52-14,91,,,,,,,,,96-57,,,,,,,,,,58,,,,81-15,,,,,
,,,81,13,66,,,,92,36,,16,,,,74,,,,,,,33,58,38-74-69,,,,
,,,,,,91,96,,,81-33,52,74,,,,,86,,33,91,,15,,,14-81,,,73,
14-65,,,,4,,,81,,16,91,,,,,,84,,,,,,,,,,,36,,
,,,,,,16,,74,,,64,91-91,,95,91,96,,,,14,,,81,,,,81,,
,,,52,33,,,,,,72,,,91,57,,,,71,,,,,,,,,,,
,,58,,,,,,,,,,,33,,,,52,,,,,33,55,33,,,,,14
40,,,,,,33-70,,,,95,81-69,,,,,,,,,,,52,,,52,52-58,,,
,,,,,,,33,70,,,95,,,,18,,,,,,52-33,,14,,57,,95,,
1,,63,,,57,81-85,64,,,,52,,,91,96,,33-57,,52,,,81,,,,81,,,52
69,16,36-14,,,,,84,52,,,,,,20-14,85,,85,81,,,52,,,,,,,,
11,45,,,52,8,14,,,,,,,,14,91,,52,33,,,,81,,,,,,,
51-20,,33-51,84,,,,52,,,,,,,,20-15,52,,36,91,,,80,,,96,36,,84,
,,,49,,,74-79,86,,,1,,,,8,,58,,65,,,,,,,88,,52,,
,,,,,,,,,,95,,,21-23,,41,48,,,,,91,14,,,81,,52,77,
,,,,,52,33,,8,,,,43,,,58-52,,,91-60-72,,,,14-52-43,91,,85,,,,
,,,,,52,,77-51,,,91,74,36,,,4,,,20-84,,,,,,,48,96,,,18
81,,,,,,,11,,,,,,,,,,,1,71,,20-83,,,72-49,,,,58,
,,70,,,,,52,33,,40,,,,,,,,,74,,,,33-84,,81,,,,
,,72,,52,,,,83-52,,,,,,,,,,,,,88,11,,,,,,,
,74,,,,,81,33,,,,,,,,52,,91,,,,,,33,84,,,,70,56-92
,,,,,,,,20,,,,,,,,,,,48-72,91,,,,,,,,,
,,,,,,,,,1,81,,,,58,,,,77,66,,57,,91,,,,,,
,,,,,14,,,73,,,11,31,,,,,,,,,,81,,,81,,91,,52-89
33,,,,96,,92,,,,81,,,50,,,,,52,,,,,33,,,14,38,,
14,,,,3,,,,,43,59,,,,,14,,,,69,,14,,,,52,,,,50
14,52,,91,66,,,,52,,,,,,74,,,,,,,,,43,40,,,,35-52,
,,,,14-91,,52,95,14-20,,,,33,,,,,,,,,52,,33-85,,,,,,16
,,,,,58,,,,,,,,,,,77,,,20,52-14,,,92,,20,52,,,
,,,52,,72,1,,,18,,52-33,,,,,,,,81,,,,,,,,11,,
,,,,52,,65,,,,,,,52,,70,,90,,,81,,,,96-92,33,,,,91
,,,,1,,,,,,,74,,,,58,,96,,,,52,,70,33-50,,,,,
1,,,,,84,,,,,,,57-70,,,,,83,,74,,,38,,,,,,,
,72,81,96-91,,,,,,,57,81,,,,,,,,,,,,,,,,,,
,,,,,,,,,52,,,,,,,,15,,58-65,,91,,74,,33,14,,,
,,,81,,,,,,81,,,,94,,,4,33,96-92,,1,8,28-52-8,,33,,,,,
,,,14,,,,,,,20,,,,58,,8-33,,,,74,,,,,,52,38,43,52
91,,,,,,,,36,,,91,4,71,,,,,40,,33,27,81-43,,,,,,,38
,58,33,,,8,,,,,,,,,,,52,,,,,,,74,,52,,,,
1,,,58,,,14-52,,,,,,,91,27,,,,,,,,,16,,70,14,,92,
,,14,52-52,,90-46,,,,43,57,,,33,,20,,,47-65,,83,,14,,81,,57,,,
,33,50-69-43,,,,,,,,,6,,21,,,,,84,,,72,,,,52,,,81,
,,79,,33,74,,61,91,,,,79,,15,63,,43,90,,1,,,,,,,,,74
,,,,11,,,52,,3,,,,,,1,,,,,84,,,,91-81-96,,,,,
14,,,33,,,,48,26,,,,46,,33,,14,84-1,,52,91,,52,,,64,,,82,
,85,,,,,,,,91,,,,,81,81,88,,,,,,81,,11,,,,,
50,,,52,18,97,,,,,,1,,,,52,,52,,,,,,95-24,,,,52,,91
14,97-95,,,43,,,,,,,,,,,37,14,57,,52,91,3,,,83,65,1,,,63
,,,91,,,,14,20,,,,52,,,,,,81-63,52,36,,,,,,,60,,
8,36,,52,,,,,,,97,,,,,,,,11,,,,,,,33,,,91,
,52,33,11,,,,,47,,,,,14,,81,,,,,,71,,69,,81,,,85,
,52,,,,50,,,,,,,,,,91,,,,,,,,14,,,,,,
,,,,,,20,,,,20,50,,,,,,14,,,,,,,,,,,,
,,8,33,,,,,,,,,14,,,,,,,91,33,,20,,,96,,,,
,,,27,,58,,,27,,,,,,33,,,72-14,,60,,,,55,,,,,14-52,
52,,74-81,,,,33,,,,96,33,43,,,,,,,,,,,,,,,36,,
,,,,81,,,,,,,,,,,8,1,,,,,,8,,,14-74,79-33,20,,51
61-14-92,,72,,,,,,,43,88,,50,,,,,,,12,,52,,,,,,91,,43
52-91,,,,,,,,63,,,,,,,,,43,,,,,27,,,,,24,91,97
,,,,80,,,,84,,,91,,,11,50,,,91,52-16,20,,,,,,,83,,
,21,,,,,,,,51-34,,,,91,,,91,,,,,,,,1-27,,,20,,33
,71,,91,,63,14,,52,,1,33-91,,,,,,,52,,,91,,36,,,,84,33,
,,,,58,,16,,,8,,,,33,,92,,,33-58,52,,,3,52,,,,,,
1,27,77,,41,,,27,,,,,,,,,55,14,,,,33,,,1,,,1,,
31,,,,58,,52,,,,,,,,,,14,81,52,,,,81,33,,,,,,95
,,,8,,,43,,,,,,,,58,,,,,,91,,38,47,81,,,,,
,,,,,,,,,81,,33,,70,,,,60,,,,18-33,36,91-26,,,,52-33,,1
,,,,,,,60,4-96,,,65-79,64-20,1,88-74,4,,89,,92,,96,,52-36,,79,,,,
,,33,,91,,36,,,,,,,50-6,33,83,52,,,,,,,,,,,52,18,
,,48-83,,,,,,40,,,,,,,,,,52-81,,,52,,,,,,,91,36
,,82,,,81,,,,,58,,,,,,,,,,18,,14-33,,,,,27,15-8,
,,,,,,,,,27,,,,,33-65,,,,,,,4,14,81,,,20-83,,,
33,38,,,91,,,,1,,,,95,,,52,,,,50,,,37,,,,,,,
,,52-24-83,,,,,1,,,,,91,,,,,,,,,,,,,,,,,
,,,,,52,,,,,81,,,,,,58,,,,,,,,72,88,,,,
,,,18,4,,33,,,,,81,90,,,,,38,,,,,,,81,,,,,
,,,,,,14-91,,,,,51,,91,74,,52,52,,81,,,,,,43,,,,
33,48,,,,52,,,,84,61,,18,,,,,,,13,,51,83,,11,,,4,,15
,,,,81-59,,,,1-52,18,,,,,,,,83,,,81-81,91-33,,14,,36,,,,
,,,52,,,81-20,,,,,84,,,,,,65-33,,20-14,70,33,,,,,,,,
33-20,,,,58-91-72,1,,14,61,72,,,,,50,91,,,,,,,,41-52,,,,38,,81
,,,,,11,,,,,,84,,,,52,,,81-74,,59,38,,58,,,,,,
97,,52,14,,,,13,,96,,91,,,,,74,,,,52,,,,,,,,,70
52,,52,,,71-14,,,52,,91,,14-26,,14,43-48,,,,,,4,,,,43,,,,36-81
,,,,,,,,,,91-52,25,,,,,,,,,,,81,52,,,,,,91
,,,,,52,,,,,20-15,,,83,,,,,14,,61-81,,52-4,11-14,,,,91,1,57
,,,,,,,,,,,,91,,,,95,20,,,11,,,,,,65,,71,70
,81,,,,,,,,,52,,,,20,48-58,,,,,,74,,91,,33,,,60,83-20
,,,50,,,,25,,,,,,,,,91-14,,,,,,,14,81,,14,90,,
,63,,52,,,1-81,,14,,,,1,,97,57,,,,,,11-74,91,,,,,,,
83,,,,,,,,,91,48,74,,,52,97,,24,1-91,,,,52,,,24,92,,,
,,,,,,48-58,,,,,,52,,,,,,,,11,,72,,91,,50,,65-91-40,
,84,,,,81-81,14,,,,14,52,81,,8-71,33,,63,,,,50,,52,,,,,,
,33,58-11,,,83,4,,,,,,,15,,,96,,36-33-72,,,,,,96,33,91,,,
,,72,,,,,,,,43,11,20,,,,8,,81,,,,,,,,34,,,79
16,,,,92,,81,91,,,52,,,,,81,20,,,,,,,,,,,,,
,,,,,52,70,,,,,,,,,,,,,14,33,16,91,,,27-52,,,65,
86,43,,1,,,70,,,,,,,,,,,,,61-33,,14,81,,,,,,,33
,,,37,,,52,,,27,,,,,,,,91,,,,,,,,,,,36,
,,,58,,,81,,,90,,8,,,57,,,,,,,51,,,,15,,33,,
47,52,,,,,,,11,,,,,,,,,,92,90,,,52,,,,26-65,,,81
,,,74,,95-15,,,,,33,,,,,96,,,65,,,70,57,,,82,,,70,20
27,,,,,52,,,,,,,,,,,14,,,15,,81,72-81,,27,,96,92,,
72,81,,,,,,,,52-33,,,,36,70,,,,81,96,,69,,,71,,,43,,61
,,,92,52,57-79,,,2,3,,,,,,,,48-33,4-81,,,,,81,,,,18,,
