prob,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
0.0019467833667192029,,,81,97,,95,,92-33,43,1-91,,,,,,43,,,,34,81,,,1-4,,,,,,
0.004778805179475828,,91,,57,33-79-46,,,,,71,,70,,,,,,,79,,63,,,,,,33,,,
0.0274694799342364,,,81,8,,,,,,,,,,,,,,,,,,,,8,,,,,58,8
0.013492426309224662,,33,,,,,,,,52,14,,38,,,,66,,33,,,,43,8,90-97,,,14,90,
0.0016073502835163142,,14,,,,74,,,,,,,,91,13,,36,52-33,52-65-92,,,,,50-49,91,,,8,92,
0.030000001424923546,,,,,,,,55,,,,,,,,,,,,,,,,,,,4-84,,,20-36
0.0013906935677713925,,,,,,,,69,,,,85-96,,65,,,,33-74,,40,33,,74,,36,,80,71,,
0.010753257105512178,,16,,,,,,,,,,70,,,90,,,,,36,,,16,,,,,,,16
0.01861357148315246,,,,,,,,15,,48,33,,33,34,61,52,61,58,,,92-20,,,,,,33-14,,,
0.00453744561461615,,,8,,,,,,33,,,1-20,,,,91,,,,,74,,81,,,18,,74,52,
0.021423891814189144,,,58-18,,51,,,,,,,,,,,,81,,,,47-33,81,,,95,1,,,,
0.011857923540340543,38,,83,,,,,,,,31,,,,,8-33-74,11,92,,,,,,61,,,,,,96
0.00042072262438280257,,,,,,,,,,,,70,,71-51,,,,21,20,,14,,81,11,81,52,,14-52,,
0.004296644576319652,,28,,33,,,,33,,,87,74,,50,,,52,96,,36,,57-69,,,79,,,,,
0.010581145469951795,91,,,52,,43,,,,,,,,,,,33,,,,33,14,52,48,52,,33,72,,
0.0025246429640026864,,,,,,,,,,,61,,57,,,71,,,,,,50,15,,,33,,,,
0.0014648556150039865,,91,,,,,,,,,39,,,43,,,72-95,,,,4,91-56,,,58,,,,,
0.008635150666890412,,28,41-95,,,,61,,,,,,,95,66,11-91,81,,,,,72,,,69,,,,,15
0.009593009599484505,,,33,49,,,,,74-67,,,91,,,,,,,,,,,81,33,,,,,33,
0.0015545905161784223,,52,33,95,8,,,33,,,,,,,,,,,,,52,,27,,,14-52,33-18,,70,91
0.0015153799880012633,,,,,43,49,,,52,,69,,33-51,15-43,,,71,,,50,83,49,,52-82,,,,,,11
0.0006594036133537308,,71,,,,83,,,,,,,20,,,,33,58,38,15,,,,,,84,,,,
0.013128465450472889,16,,,,,,,,,,,,,,,15,12,,,,,,60,87,,,,52,,
0.02136730528905039,,,,57-57,15-91,36-65,,14,,,,,,,,52,,80,,,63,,82,,50,,,,,
0.0043347691254011994,,,,,,,,,,,57,,,14,,,,52,,,,,,,,,60,,,77
0.003936212224404238,,52,,,,,,,,66,81,14,,,,66,16,,,,,,14,,,88,,,,
0.010315278219039256,,,,,,,95,,95-43,60,,,11,,,,,,,14,40,95,,,,91,,,,
0.002128913748403404,,14,,,,,,91,81,,,45-57-81,,,,16-74,50,,,,,33,52,,33,,91,,,
0.018118505639572114,,,,,,,,,,33,64,91,,,91,,11,,48,,,,,,52,,,,,
0.007247853005582998,,33-20,,,,,,26,36,14,,77,,,,,,,43,,,,,,,14,91-15-40-1,,84,8
0.002796260987848139,,,52,,,,,,,87-72,50,,,,,33,92-14,,14,83,43-89,,,1,,,,,1,
0.01752308423232335,43-31,,,,,81,,,,,,,,,,,,,,,,,,,,92-14,20,,52-81,52
0.005953487153403615,,,,80,,,70,,,52,33,,,,,,,70,,81,,,,,,52,,,52-12-97,
0.02033033840379201,41,14,96,,,,,,,,4,,81,91,70-52,,,,,70,81,,,,,,,,,52
0.01535233589753312,61,,,52,,40,81,,,61-81,,,81,,,33,,,33,40,,,,,,,,91,,
0.0002248887619957455,14,,33,,52,96,,39,,,,,,,11,,,,91-40,,,,52,,,,,,,
0.007903265222484773,,,,,,,,,,84-33,,,,,,33,,,,,,,,,,33,,,39,
0.007464095851081103,,,,52,,,72-38,,,,,1,,33,,,,,45,,,,,,20,,,,,
